Ranunculus bulbosus,3,,3,3,3,3,3,3,3,2,3,4,3,4,3,3,,4,2,2,,1,3,1,1,1,1,3,5,2,4,2,3,2,2,2,4,,3,4,4,3,3,4,3,,3,3,4,3,3,2,,,,2,2,1,,2,2,,2,,,2,1,3,2,,1,4,4,,1,3,1,1,2,1,2,3,3,3,3,5,3,4,3,2,1,2,2,4,4,3,3,3,,3,4,2,,3,3,3,,3,3,2,2,2,2,3,4
Rhytidiadelphus sp.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
Rosa canina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus fructi agg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scabiosa columbaria,,,,,,,,2,,,,,,,,,2,,,,1,1,2,,,,,,,,1,,,,,,,,3,,,,,,,,3,,3,2,,,2,2,3,,,5,,4,,4,1,,1,2,1,,,,,1,,2,3,4,,3,4,,,3,,,,,2,,2,,,,,,2,,2,,3,2,2,,,,3,,1,3,,2,2,,2,3,3
Schedonorus arundinaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorzoneroides autumnalis,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,1,,,1,,,,,2,,,4,,,,,,1,,2,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Senecio jacobaea,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,
Serratula tinctoria,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiranthes spiralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Succisa pratensis,,3,,3,2,3,,2,,,,,,,,,,1,4,3,4,2,4,5,4,5,3,,,2,4,3,2,5,2,3,4,1,,,,,,,,,,,,3,,,5,,,4,1,4,,5,1,4,3,,1,,,,,4,2,4,3,3,2,5,3,4,2,5,,4,2,,,4,2,,2,4,5,5,,,,,3,2,3,,4,2,,3,,,4,,4,2,3,2,4,3,
Taraxacum agg,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,1,,,,4
Taxus baccata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesium humifusum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymus polytrichus,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium campestre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Trifolium pratense,2,2,3,2,3,3,3,3,,3,3,3,3,3,3,4,4,4,3,2,1,2,2,2,4,2,4,2,2,3,4,2,3,3,1,2,,,3,,3,,,4,3,4,3,2,4,,3,,,,3,2,1,,2,4,,4,2,3,2,,,,2,,1,,,3,1,4,,3,2,2,2,,2,2,,2,,,,3,3,4,5,2,,3,3,,3,3,2,,2,,2,2,3,3,2,2,2,2,2,3,3
Trifolium repens,2,2,3,2,,,2,3,3,3,3,3,3,3,3,4,3,3,2,1,,1,1,,3,2,1,1,2,2,3,2,2,,1,,,1,,,4,3,3,3,3,,,2,3,4,,,,,,,2,1,1,2,,1,1,1,1,1,1,,2,,1,4,2,2,1,2,2,2,,2,1,1,1,1,1,2,2,3,1,1,,3,1,1,2,3,2,2,2,,2,3,3,4,3,2,,3,2,1,2,1,1,,
Trisetum flavescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica chamaedrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum lantana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola hirta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
